Date,^GSPC,^FTSE,^N225,EEM,GC=F,TLT,GBPUSD=X,JPY=X
2009-05-05,6882860000.0,1521395300.0,,68791600.0,69.0,1369000.0,0.0,0.0
2009-05-06,8555040000.0,1450005700.0,,73761000.0,30.0,2045900.0,0.0,0.0
2009-05-07,9120100000.0,2082793400.0,238900000.0,75753800.0,64.0,5755200.0,0.0,0.0
2009-05-08,8163280000.0,1374720300.0,220100000.0,75762100.0,156.0,2193400.0,0.0,0.0
2009-05-11,6150600000.0,1174313500.0,230800000.0,58826800.0,2.0,2167400.0,0.0,0.0
2009-05-12,6871750000.0,1233368000.0,188300000.0,49679000.0,24.0,2304800.0,0.0,0.0
2009-05-13,7091820000.0,1484087100.0,176000000.0,67084800.0,71.0,1917500.0,0.0,0.0
2009-05-14,6134870000.0,1162939200.0,169300000.0,44896300.0,1.0,1704600.0,0.0,0.0
2009-05-15,5439720000.0,1035803800.0,171900000.0,53304900.0,45.0,2306600.0,0.0,0.0
2009-05-18,5702150000.0,959145100.0,147700000.0,74264200.0,71.0,2234700.0,0.0,0.0
2009-05-19,6616270000.0,1385942800.0,167000000.0,73775000.0,71.0,1624300.0,0.0,0.0
2009-05-20,8205060000.0,1326948700.0,143200000.0,77054600.0,67.0,2825700.0,0.0,0.0
2009-05-21,6019840000.0,1220946400.0,133200000.0,63183300.0,71.0,4771700.0,0.0,0.0
2009-05-22,5155320000.0,995791300.0,134700000.0,44241600.0,12.0,4483400.0,0.0,0.0
2009-05-25,,,129200000.0,,,,0.0,0.0
2009-05-26,5667050000.0,981618600.0,121200000.0,67058200.0,20.0,3633100.0,0.0,0.0
2009-05-27,5698800000.0,921207800.0,148900000.0,98036100.0,151332.0,7490200.0,0.0,0.0
2009-05-28,5738980000.0,899986300.0,155700000.0,69977300.0,74257.0,9824300.0,0.0,0.0
2009-05-29,6050420000.0,1114677900.0,175800000.0,70410400.0,7607.0,4746700.0,0.0,0.0
2009-06-01,6370440000.0,945032300.0,177600000.0,75198300.0,2883.0,6987000.0,0.0,0.0
2009-06-02,5987340000.0,1387225400.0,184700000.0,100627600.0,2345.0,5063600.0,0.0,0.0
2009-06-03,5323770000.0,1223091600.0,140600000.0,108756900.0,1187.0,6727200.0,0.0,0.0
2009-06-04,5352890000.0,1011577800.0,175900000.0,71566500.0,600.0,5438600.0,0.0,0.0
2009-06-05,5277910000.0,1214146300.0,156100000.0,71692700.0,714.0,8439600.0,0.0,0.0
2009-06-08,4483430000.0,1217751600.0,155800000.0,64025700.0,580.0,4084000.0,0.0,0.0
2009-06-09,4439950000.0,984357200.0,159000000.0,62174500.0,684.0,6046300.0,0.0,0.0
2009-06-10,5379420000.0,1183525400.0,192800000.0,60045900.0,698.0,12142000.0,0.0,0.0
2009-06-11,5500840000.0,1081565400.0,211200000.0,68831300.0,583.0,10692800.0,0.0,0.0
2009-06-12,4528120000.0,988502000.0,297200000.0,55824300.0,166.0,6606800.0,0.0,0.0
2009-06-15,4697880000.0,975059400.0,158200000.0,75789300.0,258.0,4518700.0,0.0,0.0
2009-06-16,4951200000.0,1170139200.0,174600000.0,71535900.0,149.0,5376000.0,0.0,0.0
2009-06-17,5523650000.0,1167328700.0,179400000.0,94091200.0,29.0,7197200.0,0.0,0.0
2009-06-18,4684010000.0,1222104700.0,168700000.0,62572000.0,91.0,6794000.0,0.0,0.0
2009-06-19,5713390000.0,1830416700.0,174900000.0,60687200.0,73.0,4750700.0,0.0,0.0
2009-06-22,4903940000.0,1126564100.0,149900000.0,80985000.0,134.0,3952300.0,0.0,0.0
2009-06-23,5071020000.0,1057649000.0,185600000.0,87108200.0,181.0,5356900.0,0.0,0.0
2009-06-24,4636720000.0,1121205000.0,153100000.0,80955800.0,588.0,6550400.0,0.0,0.0
2009-06-25,4911240000.0,1082815700.0,161200000.0,83273600.0,72.0,7140000.0,0.0,0.0
2009-06-26,6076660000.0,1021123100.0,135800000.0,64981100.0,185.0,4050400.0,0.0,0.0
2009-06-29,4211760000.0,1086737200.0,160200000.0,52781900.0,445.0,4334900.0,0.0,0.0
2009-06-30,4627570000.0,1281583500.0,143300000.0,92032200.0,128.0,3743700.0,0.0,0.0
2009-07-01,3919400000.0,1191886800.0,158100000.0,83474500.0,88.0,3379900.0,0.0,0.0
2009-07-02,3931000000.0,1271763500.0,141700000.0,59912900.0,67.0,2645100.0,0.0,0.0
2009-07-03,,905300700.0,127100000.0,,,,0.0,0.0
2009-07-06,4712580000.0,874675400.0,109800000.0,52119200.0,108.0,1886700.0,0.0,0.0
2009-07-07,4673300000.0,847664200.0,142800000.0,68778800.0,57.0,2592400.0,0.0,0.0
2009-07-08,5721780000.0,1051898200.0,147900000.0,92051000.0,41.0,7912900.0,0.0,0.0
2009-07-09,4347170000.0,900471600.0,148400000.0,64758500.0,74.0,5241400.0,0.0,0.0
2009-07-10,3912080000.0,814402200.0,151400000.0,74323300.0,40.0,3981900.0,0.0,0.0
2009-07-13,4499440000.0,833668500.0,168800000.0,70112100.0,30.0,2604300.0,0.0,0.0
2009-07-14,4149030000.0,867775400.0,168000000.0,41729700.0,64.0,3629100.0,0.0,0.0
2009-07-15,5238830000.0,916566200.0,169600000.0,91648100.0,67.0,4664200.0,0.0,0.0
2009-07-16,4898640000.0,924481400.0,178400000.0,63985200.0,63.0,4225200.0,0.0,0.0
2009-07-17,5141380000.0,1076386600.0,122100000.0,56901900.0,34.0,3845700.0,0.0,0.0
2009-07-20,4853150000.0,953645400.0,,68482100.0,5.0,4436500.0,0.0,0.0
2009-07-21,5309300000.0,1080316400.0,151300000.0,68861800.0,15.0,3895300.0,0.0,0.0
2009-07-22,4634100000.0,928783400.0,153800000.0,69406200.0,71.0,1986700.0,0.0,0.0
2009-07-23,5761650000.0,1104970700.0,171800000.0,79876800.0,47.0,3818800.0,0.0,0.0
2009-07-24,4458300000.0,1145016600.0,205500000.0,49263200.0,77.0,1765300.0,0.0,0.0
2009-07-27,4631290000.0,874599400.0,161200000.0,42808800.0,5.0,2755900.0,0.0,0.0
2009-07-28,5490350000.0,966741400.0,138500000.0,53859400.0,10.0,3324800.0,0.0,0.0
2009-07-29,5178770000.0,895089400.0,146700000.0,53099700.0,129090.0,2910200.0,0.0,0.0
2009-07-30,6035180000.0,1158922100.0,147400000.0,90259400.0,36620.0,4040700.0,0.0,0.0
2009-07-31,5139070000.0,1120900900.0,182700000.0,119531600.0,10747.0,5697000.0,0.0,0.0
2009-08-03,5603440000.0,1178151400.0,162000000.0,78103100.0,2602.0,4029300.0,0.0,0.0
2009-08-04,5713700000.0,958905100.0,175400000.0,53355600.0,565.0,3832200.0,0.0,0.0
2009-08-05,7242120000.0,1392568600.0,134600000.0,47802100.0,742.0,4458300.0,0.0,0.0
2009-08-06,6753380000.0,1312467700.0,146500000.0,53346600.0,543.0,3228500.0,0.0,0.0
2009-08-07,6827090000.0,1528840500.0,140500000.0,57768600.0,641.0,3543200.0,0.0,0.0
2009-08-10,5406080000.0,892251700.0,147800000.0,61356900.0,395.0,3150100.0,0.0,0.0
2009-08-11,5773160000.0,1051822100.0,135300000.0,70127000.0,106.0,3677800.0,0.0,0.0
2009-08-12,5498170000.0,1010701400.0,124100000.0,64542700.0,102.0,4729200.0,0.0,0.0
2009-08-13,5250660000.0,1013328800.0,125900000.0,67566500.0,104.0,3922300.0,0.0,0.0
2009-08-14,4940750000.0,871182600.0,142600000.0,52588400.0,141.0,4410400.0,0.0,0.0
2009-08-17,4088570000.0,800042900.0,134000000.0,105003100.0,128.0,3569700.0,0.0,0.0
2009-08-18,4198970000.0,732863000.0,126600000.0,67450600.0,276.0,2557900.0,0.0,0.0
2009-08-19,4257000000.0,773947300.0,138100000.0,67893600.0,194.0,3518200.0,0.0,0.0
2009-08-20,4893160000.0,943369300.0,137000000.0,71352300.0,35.0,3282700.0,0.0,0.0
2009-08-21,5885550000.0,1320141100.0,154300000.0,81207200.0,53.0,6258300.0,0.0,0.0
2009-08-24,6302450000.0,900326900.0,122500000.0,58467000.0,198.0,4460200.0,0.0,0.0
2009-08-25,5768740000.0,1044396100.0,127000000.0,61418900.0,143.0,3359700.0,0.0,0.0
2009-08-26,5080060000.0,907787400.0,132100000.0,57206000.0,128.0,3225800.0,0.0,0.0
2009-08-27,5785880000.0,912983500.0,138700000.0,59720400.0,193.0,2514000.0,0.0,0.0
2009-08-28,5785780000.0,1070450000.0,130200000.0,51683600.0,182.0,2072500.0,0.0,0.0
2009-08-31,5004560000.0,,152400000.0,72348200.0,21.0,2899800.0,0.0,0.0
2009-09-01,6862360000.0,1150970500.0,,95728700.0,17.0,3304200.0,0.0,0.0
2009-09-02,5842730000.0,1274571700.0,138100000.0,68401900.0,65.0,4345000.0,0.0,0.0
